14550	158202816	5
14550	158202817	1
14550	158202818	2840
14550	158202819	52
14550	158202820	22
14550	158202821	439
14550	158202822	25
14550	158202823	8
14550	158202824	157
14550	158202825	7
14550	158202826	47567
14550	158202827	335
14550	158202828	35
14550	158202829	279
14550	158202830	22
14550	158202831	24
14550	158202832	148
14550	158202833	1
14550	158202834	2840
14550	158202835	52
14550	158202836	22
14550	158202837	9556
14550	158202838	26
14550	158202839	38
14550	158202840	8
14550	158202841	157
14550	158202842	33737
14550	158202843	4
14550	158202844	110289
14550	158202845	4
14550	158202846	252
14550	158202847	257
14550	158202848	7
14550	158202849	324
14550	158202850	1
14550	158202851	8
14550	158202852	7174
14550	158202853	17
14550	158202854	90
14550	158202855	1328
14550	158202856	5000
14550	158202857	1
14550	158202858	512
14550	158202859	322
14550	158202860	183
14550	158202861	40
14550	158202862	3
14550	158202863	7376
14550	158202864	1
14550	158202865	15176
14550	158202866	8227
14550	158202867	6
14550	158202868	25971
14550	158202869	4102
14550	158202870	36
14550	158202871	1761
14550	158202872	48712
14550	158202873	5
14550	158202874	10
14550	158202875	624
14550	158202876	224
14550	158202877	7895
14550	158202878	209
14550	158202879	1
14550	158202880	2840
14550	158202881	265
14550	158202882	1
14550	158202883	8
14550	158202884	687
14550	158202885	14
14550	158202886	428
14550	158202887	98
14550	158202888	15
14550	158202889	46
14550	158202890	85
14550	158202891	8
14550	158202892	296
14550	158202893	35
14550	158202894	1266
14550	158202895	196
14550	158202896	607
14550	158202897	615463
14550	158202898	8
14550	158202899	10
14550	158202900	45
14550	158202901	187
14550	158202902	512
14550	158202903	183
14550	158202904	1
14550	158202905	24
14550	158202906	9
14550	158202907	2905
14550	158202908	66
14550	158202909	10441
14550	158202910	51
14550	158202911	10
14550	158202912	6
14550	158202913	50
14550	158202914	3146
14550	158202915	402
14550	158202916	26
14550	158202917	1255
14550	158202918	3619
14550	158202919	9
14550	158202920	370
14550	158202921	65
14550	158202922	21
14550	158202923	22
14550	158202924	983
14550	158202925	9
14550	158202926	762589
14550	158202927	1
14550	158202928	265
14550	158202929	1
14550	158202930	8
14550	158202931	39
14550	158202932	15
14550	158202933	53
14550	158202934	1
14550	158202935	35
14550	158202936	1266
14550	158202937	1
14550	158202938	8
14550	158202939	541
14550	158202940	1
14550	158202941	2840
14550	158202942	8
14550	158202943	285
14550	158202944	9
14550	158202945	30
14550	158202946	82
14550	158202947	6
14550	158202948	53
14550	158202949	100
14550	158202950	1166
14550	158202951	26097
14550	158202952	25883
14550	158202953	2
14550	158202954	1255
14550	158202955	2573
14550	158202956	481
14550	158202957	9
14550	158202958	5985
14550	158202959	49
14550	158202960	17
14550	158202961	1021
14550	158202962	19088
14550	158202963	2
14550	158202964	10459
14550	158202965	2
14550	158202966	1255
14550	158202967	718
14550	158202968	770285
14550	158202969	1
14550	158202970	8
14550	158202971	107799
14550	158202972	107799
14550	158202973	107799
14550	158202974	107799
14550	158202975	107799
14550	158202976	107799
14550	158202977	107799
14550	158202978	107799
14550	158202979	107799
14550	158202980	107799
14550	158202981	10
14550	158202982	7
14550	158202983	560
14550	158202984	349
14550	158202985	2973
14550	158202986	2
14550	158202987	31
14550	158202988	142681
14550	158202989	13277
14550	158202990	156
14550	158202991	130
14550	158202992	3
14550	158202993	48180
14550	158202994	5
14550	158202995	1955
14550	158202996	7
14550	158202997	7994
14550	158202998	1273
14550	158202999	15
14550	158203000	90
14550	158203001	6
14550	158203002	3
14550	158203003	2216
14550	158203004	6
14550	158203005	3
14550	158203006	2125
14550	158203007	2
14550	158203008	44573
14550	158203009	69143
14550	158203010	52040
14550	158203011	3944
14550	158203012	13
14550	158203013	513
14550	158203014	14
14550	158203015	19
14550	158203016	1616
14550	158203017	13
14550	158203018	19
14550	158203019	246
14550	158203020	1
14550	158203021	8
14550	158203022	264
14550	158203023	27
14550	158203024	2
14550	158203025	1195
14550	158203026	1277
14550	158203027	14
14550	158203028	22
14550	158203029	2712
14550	158203030	746
14550	158203031	854
14550	158203032	54
14550	158203033	541
14550	158203034	262
14550	158203035	54
14550	158203036	1143
14550	158203037	169
14550	158203038	4
14550	158203039	17853
14550	158203040	4
14550	158203041	2
14550	158203042	1582
14550	158203043	7
14550	158203044	956
14550	158203045	233
14550	158203046	1
14550	158203047	5
14550	158203048	137
14550	158203049	2098
14550	158203050	2
14550	158203051	205
14550	158203052	1
14550	158203053	137
14550	158203054	10102
14550	158203055	2098
14550	158203056	25
14550	158203057	28
14550	158203058	12646
14550	158203059	14326
14550	158203060	7
14550	158203061	11159
14550	158203062	92
14550	158203063	22
14550	158203064	276
14550	158203065	37
14550	158203066	15212
14550	158203067	3
14550	158203068	582
14550	158203069	6
14550	158203070	65
14550	158203071	153
14550	158203072	31368
14550	158203073	50
14550	158203074	4213
14550	158203075	565007
14550	158203076	46
14550	158203077	22
14550	158203078	276
14550	158203079	26659
14550	158203080	26
14550	158203081	11
14550	158203082	164
14550	158203083	302
14550	158203084	1
14550	158203085	7
14550	158203086	10441
14550	158203087	25
14550	158203088	952
14550	158203089	119664
14550	158203090	3547
14550	158203091	2
14550	158203092	67
14550	158203093	64
14550	158203094	43
14550	158203095	131
14550	158203096	30
14550	158203097	3
14550	158203098	13527
14550	158203099	6
14550	158203100	90
14550	158203101	26549
14550	158203102	86450
14550	158203103	55
14550	158203104	90
14550	158203105	1782
14550	158203106	5187
14550	158203107	5418
14550	158203108	108
14550	158203109	114
14550	158203110	3825
14550	158203111	45
14550	158203112	1707
14550	158203113	12924
14550	158203114	6
14550	158203115	1584678
14550	158203116	610
14550	158203117	19
14550	158203118	474
14550	158203119	90
14550	158203120	164
14550	158203121	3825
14550	158203122	6
14550	158203123	2600
14550	158203124	1782
14550	158203125	1
14550	158203126	38
14550	158203127	109252
14550	158203128	67022
14550	158203129	231
14550	158203130	278
14550	158203131	7590
14550	158203132	1253334
14550	158203133	14201
14550	158203134	10369
14550	158203135	15
14550	158203136	187
14550	158203137	1782
14550	158203138	5
14550	158203139	109252
14550	158203140	962
14550	158203141	73
14550	158203142	13408
